Investor ID,Deal ID,Ticker,Investor Name,Portfolio Company ID,Deal Date,Deal Type 1,Deal Type 2,Portfolio Company Name,Description,Status,Deal No.,Company Industry Sector,Company Industry Group,Company Industry Code,Company Verticals,All Industries,Company Business Status,Company Financing Status,# of Employees at Company,Deal Class
40780-72,82083-07T,BKNG,Booking Holdings,63707-68,24-Jul-2017,Merger/Acquisition,,Momondo Group,"Provider of global travel search and inspiration services intended for advertisers and consumers through its international portfolio of websites and services. The company's travel search and inspiration services are offered through leading global flight comparison, travel comparison and deals publishing platform dedicated to taking the complexity out of finding the best value flights through the application of innovative, intuitive technologies and enables travelers to have full price transparency on flights, hotels and car rental. It also offers powerful travel management software built to boost productivity for in-house travel departments and travel agencies.",Acquirer,5,Information Technology,IT Services,Other IT Services,,Other IT Services*; Media and Information Services (B2B); Information Services (B2C); Social/Platform Software,Generating Revenue/Not Profitable,Formerly PE-Backed,300,Corporate
12606-40,92231-11T,BMY,Bristol-Myers Squibb,161616-25,07-Sep-2017,Merger/Acquisition,,IFM Therapeutics,"Developer of small molecule drugs intended to improve the lives of patients with serious diseases. The company's two pre-clinical program targets the innate immune system to identify and take out cancerous cells, as opposed to chemotherapy for treating cancer, autoimmunity and inflammatory disorders.",Acquirer,3,Healthcare,Pharmaceuticals and Biotechnology,Drug Discovery,"Life Sciences, Oncology",Drug Discovery*; Biotechnology,Generating Revenue,Formerly VC-Backed,,Corporate
11209-06,105792-49T,COF,Capital One Financial,117315-28,11-May-2018,Merger/Acquisition,,Confyrm,"Developer of digital identity and fraud alert software designed to enhance the safety of an identity ecosystem or federation. The company's software supports all identity technologies by providing an underlying infrastructure for sharing operational identity events alerts of suspicious account activity, allowing identity providers and consumers to mitigate the impact of fraud and account theft.",Acquirer,2,Information Technology,Software,Application Software,Cybersecurity,Application Software*,Generating Revenue,Corporate Backed or Acquired,,Corporate
10837-00,60014-71T,CAT,Caterpillar,123320-62,,Merger/Acquisition,Corporate Divestiture,Remy Int'l/Williams Tech (transmission remanufacturing operations),"Manufacturer of transmission parts. The business unit produces automotive electronics re-manufacturing parts, transmission engines, repair supplies to automotive industry.",Acquirer,1,Business Products and Services (B2B),Commercial Products,Industrial Supplies and Parts,Manufacturing,Industrial Supplies and Parts*,Generating Revenue,Corporate Backed or Acquired,,Corporate
41333-95,100171-90T,CELG,Celgene,60580-27,06-Mar-2018,Merger/Acquisition,Public to Private,Juno Therapeutics,"Developer of cell-based novel immunetherapies created to radically change the course of medicine for the treatment of cancer. The company's T-cell reprogramming technology is designed to generate an anti-tumor response to treat a variety of B-cell malignancies as well as solid tumors and develop new product candidates that address a broader range of cancers and human diseases, enabling patients to delivers optimal therapeutic impact.",Acquirer,8,Healthcare,Pharmaceuticals and Biotechnology,Biotechnology,"Life Sciences, Oncology",Biotechnology*; Therapeutic Devices; Other Healthcare Technology Systems,Generating Revenue,Formerly VC-Backed,663,Corporate
11057-41,46879-12T,CHTR,Charter Communications,87866-29,18-May-2016,Merger/Acquisition,,Bright House Networks,"Owner and operator of cable systems in the United States. The company provides network management services, home security, data services and automation services. It owns local news and sports channels and sells its products and services through its online shop.",Acquirer,1,Consumer Products and Services (B2C),Media,"Broadcasting, Radio and Television",,"Broadcasting, Radio and Television*; Cable Service Providers; Internet Service Providers",Generating Revenue,Corporate Backed or Acquired,"5,001",Corporate
10753-12,75759-49T,CVX,Chevron,123596-38,,Merger/Acquisition,,Angola LNG,"Operator of liquefied natural gas plant. The company owns and operates liquefied natural gas plant and produces natural gas in Luanda, Angola.",Active Investor,1,Energy,Energy Equipment,Alternative Energy Equipment,"Infrastructure, Oil & Gas",Alternative Energy Equipment*,Generating Revenue,Corporate Backed or Acquired,,Corporate
11151-37,88232-77T,CSCO,Cisco Systems,181472-23,,Merger/Acquisition,,Pirelli Telecom,"Provider of telecom services. The company provides telecom services in Lexington, South Carolina.",Acquirer,1,Information Technology,Communications and Networking,Telecommunications Service Providers,,Telecommunications Service Providers*,Generating Revenue,Corporate Backed or Acquired,,Corporate
10024-75,93277-45T,C,Citigroup,43059-34,,Merger/Acquisition,,Travelers Property Casualty,"Provider of insurance services. The company's insurance services include non-life insurance, property insurance and other related services.",Former Investor,2,Financial Services,Insurance,Commercial/Professional Insurance,,Commercial/Professional Insurance*; Property and Casualty Insurance,Generating Revenue,Corporate Backed or Acquired,"20,951",Corporate
12021-31,99722-44T,KO,Coca-Cola,162763-30,05-Jan-2018,Merger/Acquisition,Corporate Divestiture,Comercializadora Novaverde,"Wholesaler and distributor of canned fruits and vegetables. The company's business includes selling range of fresh fruit, vegetables and ice creams in all varieties, enabling customers to consume fresh and healthy fruits and vegetables. It also offers a wide range of pre-cut and pre-packaged products.",Acquirer,2,Consumer Products and Services (B2C),Consumer Non-Durables,Food Products,,Food Products*; Distributors/Wholesale (B2C),Generating Revenue,Corporate Backed or Acquired,,Corporate
10687-15,98904-88T,CL,Colgate-Palmolive,55067-14,11-Jan-2018,Merger/Acquisition,,Swiss-American Products,"Developer and manufacturer of skin and wound care products. The company's skin and wound care products include sun care and aesthetic products, enabling users to take care of their screen and protect it from pollution.",Acquirer,3,Consumer Products and Services (B2C),Consumer Non-Durables,Personal Products,Manufacturing,Personal Products*,Generating Revenue,Formerly PE-Backed,,Corporate
10943-20,102209-86T,CMCSA,Comcast,226352-89,31-Jan-2018,Merger/Acquisition,Corporate Divestiture,Michigan Cable Partners (Highland Park Cable Grid Busimness),"Provider of cable and communication services. The company's cable and communication services include television services, calling service and broadband internet services, enabling their customers avail communication services.",Acquirer,1,Information Technology,Communications and Networking,Cable Service Providers,,Cable Service Providers*,Generating Revenue,Corporate Backed or Acquired,,Corporate
11641-33,59998-87T,COP,ConocoPhillips,123474-25,,Merger/Acquisition,,ConocoPhillips Central and Eastern Europe Holdings,Operator of gasoline retail stations. The company owns a gasoline station and sells fuel and engine lubricants for motor vehicles in Netherlands.,Acquirer,1,Business Products and Services (B2B),Other Business Products and Services,Buildings and Property,,Buildings and Property*,Generating Revenue,Corporate Backed or Acquired,,Corporate
41133-61,37659-52T,COST,Costco Wholesale,65161-00,10-Jul-2012,Merger/Acquisition,,Costco de México,Owner and operator of retail stores. The company operates a chain of warehouse clubs in Mexico.,Acquirer,2,Consumer Products and Services (B2C),Retail,Specialty Retail,,Specialty Retail*; General Merchandise Stores,Generating Revenue,Corporate Backed or Acquired,,Corporate
12469-33,103325-95T,DHR,Danaher,227068-39,,Merger/Acquisition,,Dental Components,"Provider of dental equipment and supplies. The company's dental equipment and supplies include chair and stool parts, compressor, fittings, light parts and bulbs, syringes, vacuum components, sterilizer parts, regulators, filters and valves.",Acquirer,1,Healthcare,Healthcare Devices and Supplies,Medical Supplies,,Medical Supplies*,Generating Revenue,Corporate Backed or Acquired,,Corporate
161203-78,62712-55T,DWDP,DowDuPont,10511-56,31-Aug-2017,Merger of Equals,,Dow,"Manufacturer chemical and plastic products. The company operates as an integrated science and technology company and is engaged in five segments agricultural sciences, consumer solutions, infrastructure services, performance materials and chemicals. It serves to the consumer markets that include food, transportation, health and medicine, personal care and construction and operates in approximately 180 countries.",Acquirer,6,Business Products and Services (B2B),Commercial Products,Other Commercial Products,Manufacturing,Other Commercial Products*; Other Agriculture; Multi-line Chemicals,Profitable,Corporate Backed or Acquired,"56,000",Corporate
11509-57,59753-44T,DUK,Duke Energy,41304-79,03-Oct-2016,Merger/Acquisition,Public to Private,Piedmont Natural Gas Company,"Provider of energy services. The company specializes in the transportation, marketing and distribution of natural gas.",Acquirer,2,Energy,Energy Services,Energy Transportation,Oil & Gas,Energy Transportation*; Energy Marketing,Profitable,Corporate Backed or Acquired,"1,934",Corporate
11565-19,105681-16T,LLY,Eli Lilly,60474-61,22-Jun-2018,Merger/Acquisition,,ARMO BioSciences,"Operator of an immuno-oncology company that is developing a pipeline of products that activate the immune system of cancer patients to recognize and eradicate tumors. The company's lead product candidate, AM0010 (pegilodecakin), stimulates the survival, expansion and killing (cytotoxic) potential of a particular type of white blood cell in the immune system called CD8+ T cells, which recognize and kill cancer cells and an increased presence of intra-tumoral. In addition, the company is developing a robust immuno-oncology pipeline that includes validated product candidates such as an anti-PD-1 monoclonal antibody, aimed at treating a variety of cancers in combination with standard of care treatments and emerging immunotherapies.",Acquirer,6,Healthcare,Pharmaceuticals and Biotechnology,Biotechnology,"Life Sciences, Oncology",Biotechnology*; Drug Discovery,Generating Revenue,Formerly VC-Backed,21,Corporate
11774-17,53188-12T,EMR,Emerson,119333-08,,Merger/Acquisition,,AMS Suite,"Developer of manufacturing process management software. The company develops and provides software for management of plant asset, manufacturing devices based on plant foundation field bus topology for oil and gas, pulp and paper, metal and mining, refining and water management industry.",Acquirer,1,Information Technology,Software,Business/Productivity Software,"Oil & Gas, SaaS",Business/Productivity Software*,Generating Revenue,Corporate Backed or Acquired,,Corporate
40706-47,72943-03T,EXC,Exelon,162707-50,31-Mar-2017,Merger/Acquisition,Corporate Divestiture,Entergy (James A Fitzpatrick Nuclear Power Plant),"Nuclear power plant located in Oswego, New York. The James A. FitzPatrick nuclear power plant produces nearly carbon-free electricity and has a maximum dependable capacity of 838 mega watts serving an estimated 800,000 households.",Acquirer,1,Energy,Utilities,Electric Utilities,Infrastructure,Electric Utilities*,Generating Revenue,Corporate Backed or Acquired,615,Corporate
11566-63,81321-49T,XOM,ExxonMobil,65290-87,27-Aug-2017,Merger/Acquisition,,Jurong Aromatics,"Operator of integrated aromatics plants designed to process 4.5 million tonnes of condensate feedstock per annum. The company's integrated aromatics plants produce paraxylene, benzene, orthoxylene and condensate feedstock into aromatics and transportation fuels enabling feedstock suppliers to use in a wide range of applications across myriad industries which include textiles and clothing, construction, tires, sports equipment and plastics.",Acquirer,4,Energy,"Exploration, Production and Refining",Energy Production,,Energy Production*; Industrial Chemicals; Multi-line Chemicals,Generating Revenue/Not Profitable,Formerly VC-Backed,,Corporate
41049-46,103425-40T,FDX,FedEx,167170-96,27-Mar-2018,Merger/Acquisition,Corporate Divestiture,P2P Mailing,"Provider of international parcel delivery services. The company's group of passionate logistics experts work tirelessly to support e-commerce retailers break down the barriers of international trade, providing parcel delivery services to over 200 countries.",Acquirer,2,Business Products and Services (B2B),Commercial Services,Logistics,,Logistics*; Other Commercial Services,Generating Revenue,Formerly PE-Backed,150,Corporate
10637-92,100603-72T,F,Ford,169971-13,01-Feb-2018,Merger/Acquisition,,Autonomic,"Developer of a first open mobility cloud-based platform designed to provide necessary building blocks for smart mobility applications and services. The company's Transportation Mobility Cloud is a platform that will connect the diverse components of today's urban mobility systems including connected vehicles, mass transit, pedestrians, city infrastructure and service providers with the goal of orchestrating a safer, more efficient and sustainable transportation network by routing self-driving cars, managing large-scale fleets and helping residents plan transit journeys.",Acquirer,2,Information Technology,Software,Application Software,"Artificial Intelligence & Machine Learning, Autonomous cars",Application Software*; Other Services (B2C Non-Financial); Automotive,Generating Revenue,Formerly VC-Backed,70,Corporate
53738-56,37039-42T,FOXA,Fox Entertainment Group,66208-15,29-Aug-2014,Merger/Acquisition,Corporate Divestiture,Setanta Africa Services,Provider of satellite television broadcasting services. The company primarily focuses on providing television programs broadcasting services.,Acquirer,2,Consumer Products and Services (B2C),Media,"Movies, Music and Entertainment",,"Movies, Music and Entertainment*; Broadcasting, Radio and Television; Other Media",Generating Revenue,Corporate Backed or Acquired,,Corporate
12230-29,101522-26T,,Gardner Denver,154897-30,14-Feb-2018,Merger/Acquisition,,Runtech Systems,"Manufacturer of turbo vacuum technology systems and optimization solutions for use in a variety of process-oriented industrial end markets. The company specializes in manufacturing products and services to improve pulp, paper and paper board machine efficiency as well as other industry involved with composite materials. Its patented solutions in vacuum system energy saving and system optimization, press section and forming section dewatering and doctoring optimization, as well as ropeless tail threading enabling enterprises to understand and control their paper machine operation conditions in the most cost-effective way.",Acquirer,2,Business Products and Services (B2B),Commercial Products,Electrical Equipment,"CleanTech, Manufacturing",Electrical Equipment*; Other Commercial Products; Other Equipment,Profitable,Corporate Backed or Acquired,48,Corporate
62565-40,33245-47T,,Gefran,62362-99,04-Jul-2013,Merger/Acquisition,,Sensormate,"Developer, manufacturer and supplier of industrial sensors. The company offers strain-and force-sensors, magnet extensometers, system for tie bar sensors, magnet strain gage sensors and press-on strain sensors.",Acquirer,1,Business Products and Services (B2B),Commercial Products,Industrial Supplies and Parts,"Advanced Manufacturing, Manufacturing",Industrial Supplies and Parts*; Machinery (B2B),Profitable,Corporate Backed or Acquired,,Corporate
10688-23,67584-25T,GM,General Motors,63690-49,13-Mar-2016,Merger/Acquisition,,Cruise Automation,"Developer of self-driving automobile technologies intended to safely connect people to the places, things and experiences they care about. The company's automobile technologies uses a highway autopilot system that installs on a consumer's existing vehicle and uses sensors and machine-vision technology, enabling users to get driver-less highway automobile transportation easily.",Pending (Buy Side),5,Consumer Products and Services (B2C),Transportation,Automotive,"Artificial Intelligence & Machine Learning, Autonomous cars, Robotics and Drones",Automotive*; Other Transportation; Other Software,Generating Revenue,Formerly VC-Backed,500,Corporate
52622-02,19144-99T,,Gild,52750-63,08-Sep-2011,Merger/Acquisition,,Coderloop,Provider of real-time coding assessment platform.,Acquirer,2,Business Products and Services (B2B),Commercial Services,Human Capital Services,,Human Capital Services*,Startup,Formerly VC-Backed,,Venture Capital
12233-98,93411-64T,GILD,Gilead Sciences,51664-42,03-Oct-2017,Merger/Acquisition,Public to Private,Kite Pharma,"Developer of active immunotherapies for cancer intended to cure cancer. The company is engaged in developing engineered cell therapies that express either a chimeric antigen receptor (CAR) or a T cell receptor (TCR), depending on the type of cancer. It's dual platform has the potential to change the paradigm of cancer therapy and address both hematological and solid tumor cancers.",Acquirer,4,Healthcare,Pharmaceuticals and Biotechnology,Biotechnology,"Life Sciences, Oncology",Biotechnology*,Generating Revenue,Formerly VC-Backed,600,Corporate
11645-92,101610-64T,HAL,Halliburton,51650-56,,Merger/Acquisition,,Well Flow International,"Provider of technology-enabled wellbore cleanup chemicals. The company offers wellbore cleanup chemicals, well intervention chemicals and stimulation chemicals and associated downhole rental tools to oil and gas industry leaders worldwide.",Acquirer,3,Energy,Energy Services,Other Energy Services,Oil & Gas,Other Energy Services*; Industrial Chemicals,Generating Revenue,Formerly PE-Backed,,Corporate
10325-35,101365-84T,HON,Honeywell,208100-62,,Merger/Acquisition,,Aurore,"Provider of credit card services. The company's credit card services are used to pay for purchases in all stores and websites, enabling customers to get payment services.",Acquirer,1,Business Products and Services (B2B),Commercial Services,Other Commercial Services,,Other Commercial Services*; Other Financial Services,Generating Revenue,Corporate Backed or Acquired,,Corporate
10035-64,84734-65T,INTC,Intel,12402-73,01-Sep-2017,Merger/Acquisition,Public to Private,Mobileye,"Developer of collision avoidance system designed to reduce vehicle injuries and fatalities. The company's collision avoidance system engages offers computer vision and machine learning, data analysis, localization and mapping for advanced driver assistance systems and autonomous driving with the help of advance technology that performs detailed interpretations of the visual field in order to anticipate possible collisions with other vehicles, pedestrians, cyclists, animals, debris and other obstacles to reduce the risks of traffic accidents.",Acquirer,9,Consumer Products and Services (B2C),Transportation,Automotive,"Artificial Intelligence & Machine Learning, Autonomous cars, Big Data",Automotive*; Application Specific Semiconductors; Application Software,Profitable,Formerly PE-Backed,"1,000",Corporate
10355-14,96576-13T,IBM,International Business Machines,55385-74,,Merger/Acquisition,,Delfigo Security,"Provider of information security services designed to help clients to know its users and enhance their experience. The company's information security services develop a cloud-based zero-footprint security platform that offers protection services against unauthorized access to enterprise and consumer applications by leveraging behavioral data, enabling clients to be more flexible and not locked into an all-in, all-out approach to authentication.",Acquirer,4,Information Technology,Software,Network Management Software,"Cybersecurity, SaaS",Network Management Software*; Systems and Information Management; Business/Productivity Software,Generating Revenue,Formerly VC-Backed,11,Corporate
10018-18,95941-36T,JPM,J.P. Morgan,50844-52,04-Dec-2017,Merger/Acquisition,,WePay,"Provider of an online payment platform designed to accept and process instant payments. The company's online payment platform delivers payments-as-a-service APIs for simple onboarding and activation of payments, without impacting the user experience, enabling enterprises to process instant onboarding and payments without friction or fraud.",Acquirer,8,Information Technology,Software,Financial Software,"B2B Payments, FinTech",Financial Software*,Generating Revenue,Formerly VC-Backed,200,Corporate
26033-32,88086-79T,JNJ,Johnson & Johnson,181327-69,,Merger/Acquisition,,Cutler Medical Clinic,"Provider of healthcare services. The company's healthcare services are offered through a clinic offering treatment against general medical problems, enabling patients to get quick treatment.",Acquirer,1,Healthcare,Healthcare Services,Clinics/Outpatient Services,,Clinics/Outpatient Services*,Generating Revenue,Corporate Backed or Acquired,,Corporate
10448-92,62192-17T,KMI,Kinder Morgan,61482-52,30-Nov-2015,Merger/Acquisition,,Natural Gas Pipeline Company of America,"Owner and operator of gas transmission pipelines in the United States. The company links the Texas and Oklahoma gas producing regions, onshore and offshore Louisiana supply regions, and supply received from the Rocky Mountains with gas-consuming regions in the Midwest, particularly Chicago and northern Indiana.",Acquirer,3,Energy,Energy Services,Energy Transportation,Infrastructure,Energy Transportation*; Energy Infrastructure,Generating Revenue,Formerly PE-Backed,,Corporate
10068-13,90379-09T,KHC,Kraft Heinz,157708-54,01-Apr-2011,Merger/Acquisition,,Coniexpress SA Indústrias Alimentícias,"Manufacturer of tomato-based sauces, tomato paste, ketchup and condiments. The company's products include frozen vegetables, mayonnaise, processed tuna, maize starch, olive oil and tomato bases, enabling customers to cook up new dishes with these ingredients.",Acquirer,1,Consumer Products and Services (B2C),Consumer Non-Durables,Food Products,Manufacturing,Food Products*,Profitable,Corporate Backed or Acquired,,Corporate
11944-45,100703-53T,LMT,Lockheed Martin,123094-81,24-Aug-2016,Merger/Acquisition,,AWE Management,"Provider of nuclear engineering services intended to develop nuclear deterrence program. The company's nuclear engineering services include providing and maintaining warheads for Royal Navy submarines, which includes design, manufacture, in-service support and decommissioning, enabling government of United Kingdom to combat nuclear threat, terrorism and nuclear proliferation.",Acquirer,3,Business Products and Services (B2B),Other Business Products and Services,Government,Manufacturing,Government*; Other Commercial Services,Generating Revenue,Corporate Backed or Acquired,"4,987",Corporate
